Date, Time,Minimum_Air_Temp,Current_Air_Temp,Maximum_Air_Temp,Precipitation,Relative_Humidity_Minimum,Relative_Humidity_Maximum,Barometric_Pressure_Minimum,Barometric_Pressure_Maximum
1987-05-14,09:32:00,19.5,21.5,25.5,0,100,100,-99.9,-99.9
1987-05-15,09:26:00,17.5,23,23.5,0,78,100,-99.9,-99.9
1987-05-16,09:31:00,18,24.5,26,0.4,79,100,-99.9,-99.9
1987-05-17,09:24:00,18.5,24,27.5,0,93,100,-99.9,-99.9
1987-05-18,09:30:00,17,26,26.5,0,78,100,-99.9,-99.9
1987-05-19,09:35:00,19,27.5,28.5,0,82,100,-99.9,-99.9
1987-05-20,09:33:00,21.5,27,28.5,0.4,80,100,-99.9,-99.9
1987-05-21,09:28:00,18.5,19.5,29,16.5,80,100,-99.9,-99.9
1987-05-22,09:51:00,18.5,23.5,24,0,88,100,-99.9,-99.9
1987-05-23,09:46:00,19.5,25.5,26.5,0,84,100,-99.9,-99.9
1987-05-24,09:58:00,19.5,25.5,27,0,77,100,-99.9,-99.9
1987-05-25,09:33:00,19.3,26.8,27,0,78,100,-99.9,-99.9
1987-05-26,09:53:00,17,25.5,28.5,0,71,100,-99.9,-99.9
1987-05-27,09:50:00,20.5,24,28,4.2,71,100,-99.9,-99.9
1987-05-28,09:20:00,19.5,24.5,26.5,0,76,100,-99.9,-99.9
1987-05-29,09:20:00,17,25.5,26.5,0,74,100,-99.9,-99.9
1987-05-30,-999,-99.9,-99.9,-99.9,-99.9,82,100,-99.9,-99.9
1987-05-31,10:10:00,17,25.5,27,0,76,100,-99.9,-99.9
1987-06-01,09:38:00,21.5,27.5,28,0,74,100,-99.9,-99.9
1987-06-02,09:33:00,23,28,29.5,1,73,100,-99.9,-99.9
1987-06-03,09:38:00,23,29,32.5,0,76,100,-99.9,-99.9
1987-06-04,09:37:00,21,25,39,22,95,100,-99.9,-99.9
1987-06-05,09:27:00,20,23.5,39,9.4,84,100,-99.9,-99.9
1987-06-06,09:28:00,18.5,26,26.5,0,62,100,-99.9,-99.9
1987-06-07,09:50:00,16.5,27.5,28.5,0,68,100,-99.9,-99.9
1987-06-08,09:23:00,18.5,26.5,28,0,72,100,-99.9,-99.9
1987-06-09,09:47:00,20.5,27,29.5,0,68,100,-99.9,-99.9
1987-06-10,09:30:00,22,27.5,31.3,0,76,100,-99.9,-99.9
1987-06-11,09:25:00,22.5,23.7,30.5,0,81,100,-99.9,-99.9
1987-06-12,09:25:00,22,27.5,28,0,73,100,-99.9,-99.9
1987-06-13,09:50:00,24.5,27.5,32.5,0,92,100,-99.9,-99.9
1987-06-14,09:55:00,22,26,30.5,13,96,100,-99.9,-99.9
1987-06-15,09:45:00,22,28.3,30,86,-99.9,100,-99.9,-99.9
1987-06-16,09:41:00,23.5,29.5,31,0.2,-99.9,-99.9,-99.9,-99.9
1987-06-17,09:43:00,22.5,29.5,32.5,0,-99.9,-99.9,-99.9,-99.9
1987-06-18,09:16:00,25,26.5,31,0,-99.9,-99.9,-99.9,-99.9
1987-06-19,09:52:00,22.5,25.5,31.5,4.2,-99.9,-99.9,-99.9,-99.9
1987-06-20,10:09:00,21,29,29.5,29.8,-99.9,-99.9,-99.9,-99.9
1987-06-21,09:20:00,22.5,30,31,4.2,-99.9,-99.9,-99.9,-99.9
1987-06-22,09:40:00,24.5,27.3,32,0.2,82,100,-99.9,-99.9
1987-06-23,09:42:00,23.5,26.5,31.5,0,89,100,-99.9,-99.9
1987-06-24,09:30:00,23.5,28,29.5,10,89,100,-99.9,-99.9
1987-06-25,09:35:00,21.5,26.5,31,37.6,97,100,-99.9,-99.9
1987-06-26,09:37:00,21,27,27.5,13,88,100,-99.9,-99.9
1987-06-27,09:37:00,23.5,27,30.5,13,77,100,-99.9,-99.9
1987-06-28,09:55:00,21.5,26,31.5,0,58,100,-99.9,-99.9
1987-06-29,09:42:00,19,27.2,28.5,0,75,97,-99.9,-99.9
1987-06-30,09:50:00,24,27,29.5,0,85,98,-99.9,-99.9
1987-07-01,09:22:00,24,28.3,29,0,76,98,-99.9,-99.9
1987-07-02,09:50:00,25.5,27,29.5,0,82,98,-99.9,-99.9
1987-07-03,09:59:00,25.5,30.5,31,0,78,99,-99.9,-99.9
1987-07-04,-999,-99.9,-99.9,-99.9,-99.9,77,99,-99.9,-99.9
1987-07-05,09:52:00,24,29.5,31,2.6,66,99,-99.9,-99.9
1987-07-06,09:43:00,25,31.5,39,0,68,100,-99.9,-99.9
1987-07-07,09:52:00,23,31,39,0,60,99,-99.9,-99.9
1987-07-08,09:41:00,25.5,31.5,41.5,0,62,99,-99.9,-99.9
1987-07-09,09:40:00,26,32.5,40.5,0,62,99,-99.9,-99.9
1987-07-10,09:34:00,26,32,35.5,0,60,99,-99.9,-99.9
1987-07-11,09:22:00,25.5,31.5,36.5,0,68,100,-99.9,-99.9
1987-07-12,09:50:00,23.5,29.5,33.5,0,80,100,-99.9,-99.9
1987-07-13,09:37:00,22,28.3,31,0,78,100,-99.9,-99.9
1987-07-14,09:26:00,23.5,30.5,31,0.6,64,100,-99.9,-99.9
1987-07-15,09:37:00,24,29.5,34.5,0,69,100,-99.9,-99.9
1987-07-16,09:56:00,21,26,33,0,83,100,-99.9,-99.9
1987-07-17,09:38:00,22,27.5,29,8.2,75,100,-99.9,-99.9
1987-07-18,09:37:00,21.5,26,-99.9,0,52,99,-99.9,-99.9
1987-07-19,09:59:00,18,27.5,28,0,60,100,-99.9,-99.9
1987-07-20,09:30:00,18.5,27.5,28.5,0,73,100,-99.9,-99.9
1987-07-21,07:54:00,19.6,25.5,29,0,-99.9,-99.9,-99.9,-99.9
1987-07-22,-999,-99.9,-99.9,-99.9,0,-99.9,-99.9,-99.9,-99.9
1987-07-23,-999,-99.9,-99.9,-99.9,0,75,100,-99.9,-99.9
1987-07-24,09:57:00,23.5,28,31.5,0,81,100,-99.9,-99.9
1987-07-25,09:40:00,23.5,29,30.5,0,86,100,-99.9,-99.9
1987-07-26,09:36:00,22.5,29,30.5,0,79,100,-99.9,-99.9
1987-07-27,09:35:00,25,30.8,31.2,0,69,100,-99.9,-99.9
